Year,Memorial Day,Annual Average
1982,0.58,0.48
1983,0.55,0.47
1984,0.57,0.44
1985,0.51,0.41
1986,0.52,0.42
1987,0.51,0.41
1988,0.51,0.40
1989,0.47,0.38
1990,0.50,0.40
1991,0.50,0.38
1992,0.46,0.36
1993,0.40,0.34
1994,0.41,0.33
1995,0.40,0.32
1996,0.43,0.32
1997,0.40,0.30
1998,0.40,0.30
1999,0.42,0.30
2000,0.46,0.32
2001,0.44,0.31
2002,0.37,0.31
2003,0.37,0.31
2004,0.38,0.31
2005,0.39,0.31
2006,0.40,0.32
2007,0.37,0.32
2008,0.41,0.31
2009,0.42,0.32
2010,0.40,0.31
2011,0.40,0.30
2012,0.44,0.31
2013,0.38,0.31
2014,0.37,0.30
2015,0.39,0.29
2016,0.37,0.28
2017,0.38,0.29
2018,0.37,0.29
